,baseline,cooldown,floor,both,Δ_cd,Δ_fl,Δ_both,interact
total_return,5.204110477755686,5.454101548772239,5.045303976975002,5.5876808940753975,0.24999107101655316,-0.1588065007806838,0.3835704163197118,0.29238584608384244
sharpe_ratio,-1.1103145598640718,-1.1059154365412818,-0.940327050792091,-0.9261416494256763,0.004399123322790022,0.1699875090719808,0.18417291043839545,0.00978627804362453
sortino_ratio,-1.9763345309710947,-1.9776596575283243,-1.550677558399392,-1.545081561628371,-0.0013251265572296056,0.42565697257170276,0.4312529693427236,0.006921123328250456
max_drawdown,-5.067087001137013,-4.759303477263612,-8.966022813925479,-8.632002945150695,0.30778352387340124,-3.8989358127884657,-3.5649159440136824,0.026236344901382935
calmar_ratio,0.14597740011498442,0.1627168083710899,0.08003280384842153,0.09186186238576244,0.01673940825610548,-0.06594459626656289,-0.05411553772922198,-0.004910349718764556
win_rate,40.87591240875913,40.74074074074074,35.07462686567165,35.338345864661655,-0.13517166801838698,-5.801285543087481,-5.537566544097473,0.3988906670083878
profit_factor,1.1304130466645397,1.1446453687878546,1.1018453753104103,1.124393932722685,0.014232322123314933,-0.02856767135412941,-0.006019113941854615,0.008316235288959861
total_trades,137.0,135.0,134.0,133.0,-2.0,-3.0,-4.0,1.0
avg_holding_days,12.094890510948906,11.881481481481481,19.69402985074627,19.13533834586466,-0.21340902946742446,7.599139339797363,7.040447834915755,-0.3452824754141801
cooldown_blocked,0.0,8.0,0.0,8.0,8.0,0.0,8.0,0.0
