,OFF,ON,delta
total_return,5.204110477755686,5.5876808940753975,0.3835704163197118
cagr,0.7396801865824143,0.7929518666609292,0.053271680078514905
sharpe_ratio,-1.1103145598640718,-0.9261416494256763,0.18417291043839545
sortino_ratio,-1.9763345309710947,-1.545081561628371,0.4312529693427236
max_drawdown,-5.067087001137013,-8.632002945150695,-3.5649159440136824
calmar_ratio,0.14597740011498442,0.09186186238576244,-0.05411553772922198
win_rate,40.87591240875913,35.338345864661655,-5.537566544097473
profit_factor,1.1304130466645397,1.124393932722685,-0.006019113941854615
total_trades,137.0,133.0,-4.0
avg_holding_days,12.094890510948906,19.13533834586466,7.040447834915755
cooldown_blocked,0.0,8.0,8.0
