,OFF,ON,delta
total_return,5.204110477755686,3.774325139304624,-1.4297853384510617
cagr,0.7396801865824143,0.539632157252834,-0.20004802932958032
sharpe_ratio,-1.1103145598640718,-1.16593703894016,-0.055622479076088194
sortino_ratio,-1.9763345309710947,-2.1003393098028877,-0.12400477883179306
max_drawdown,-5.067087001137013,-6.553958537905559,-1.4868715367685459
calmar_ratio,0.14597740011498442,0.08233682806075297,-0.06364057205423145
win_rate,40.87591240875913,45.45454545454545,4.578633045786326
profit_factor,1.1304130466645397,1.0591282789499383,-0.07128476771460135
total_trades,137.0,198.0,61.0
avg_holding_days,12.094890510948906,13.272727272727273,1.1778367617783676
